application_id,program_category,country,bit_program_applied,degree_language,previous_gpa,math_physics_background_score,research_alignment_score,publication_count,recommendation_strength,interview_score,english_test_type,english_score,chinese_proficiency,admission_decision,scholarship_tier
BIT20250001,Undergraduate,Morocco,Chemistry and Chemical Engineering,Chinese-taught,2.33,4.7,4.2,0,6.6,68.2,DUOLINGO,77.15938150871114,HSK4,Rejected,No Scholarship
BIT20250002,Dual Degree,Mongolia,Joint Mechanical Engineering,English-taught,3.64,8.5,7.9,0,7.3,73.4,TOEFL,109.37973454480866,HSK2,Admitted,Partial Scholarship
BIT20250003,Postgraduate,Zimbabwe,Education,English-taught,2.75,3.8,1.7,0,4.7,57.3,TOEFL,75.16488293040194,HSK1,Rejected,No Scholarship
BIT20250004,Postgraduate,Mongolia,Design,Chinese-taught,2.32,3.4,1.5,0,6.6,50.6,IELTS,4.375446588885964,HSK3,Rejected,No Scholarship
BIT20250005,Undergraduate,Morocco,Foreign Languages,English-taught,3.1,4.5,4.6,0,6.4,89.0,TOEFL,82.50619513673566,HSK1,Rejected,No Scholarship
BIT20250006,Undergraduate,Malaysia,Computer Science and Technology,English-taught,2.52,3.9,2.9,0,6.2,55.1,DUOLINGO,98.49463369927979,HSK1,Rejected,No Scholarship
BIT20250007,Undergraduate,Thailand,Chemistry and Chemical Engineering,Chinese-taught,3.4,3.6,5.0,0,6.7,83.6,TOEFL,83.95080859121242,HSK3,Rejected,No Scholarship
BIT20250008,Chinese Language,Brazil,Chinese Language and Culture,Chinese-taught,3.36,4.7,7.4,0,7.7,86.1,IELTS,6.559635680547341,HSK4,Admitted,Partial Scholarship
BIT20250009,Postgraduate,Kazakhstan,Physics,Chinese-taught,3.7,2.5,6.7,0,7.7,77.1,DUOLINGO,68.51388690546491,HSK5,Admitted,No Scholarship
BIT20250010,Postgraduate,Indonesia,Management Science and Engineering,Chinese-taught,3.43,5.4,3.9,0,7.3,74.1,DUOLINGO,94.30016251522028,HSK4,Rejected,No Scholarship
BIT20250011,Undergraduate,Brazil,Art and Design,English-taught,2.31,8.5,0.9,0,5.0,80.9,IELTS,4.662955221927237,HSK1,Rejected,No Scholarship
BIT20250012,Dual Degree,Kenya,Joint Mechanical Engineering,Chinese-taught,2.89,5.2,5.2,0,8.4,87.7,TOEFL,75.3382024163305,HSK4,Admitted,No Scholarship
