application_id,program_category,bit_program_applied,degree_language,previous_gpa,academic_ranking_percentile,math_physics_background_score,research_alignment_score,publication_count,technical_competitions,english_test_type,english_score,chinese_proficiency,chinese_study_duration_months,language_certificate_authenticity,home_country,belt_road_country,developing_country,previous_china_experience,bit_partner_university,age,gender,financial_guarantee_available,family_income_tier,sponsorship_type,previous_scholarship,scholarship_essay_score,interview_score,sop_score,recommendation_strength,cultural_adaptability_score,document_authenticity_score,health_certificate_status,previous_visa_refusals,application_completeness_score,admission_decision,scholarship_tier,scholarship_amount_rmb
BIT20250001,Undergraduate,Mechatronical Engineering,English-taught,3.34,48,8.9,1.9,1,5,TOEFL,79.9,NO_EXAM,3,0.86,Brazil,1,0,0,0,27,Male,0,Medium,Government,0,8.3,90.1,6.7,6.3,5.5,0.79,Valid,0,0.89,Admitted,NO_SCHOLARSHIP,0
BIT20250002,Dual Degree,Joint Computer Science Program,English-taught,3.4,45,5.7,4.7,0,1,NO_EXAM,74.6,NO_EXAM,4,0.85,Pakistan,0,1,0,0,30,Male,1,Low,Government,0,7.8,96.4,6.5,8.5,8.1,0.96,Valid,0,0.89,Admitted,NO_SCHOLARSHIP,0
BIT20250003,Postgraduate,Management Science and Engineering,Chinese-taught,3.25,25,5.4,7.2,1,1,IELTS,71.8,HSK5,3,0.98,Morocco,0,0,0,1,18,Male,1,Medium,Government,0,6.5,67.4,6.4,5.9,7.6,0.72,Valid,0,0.87,Admitted,NO_SCHOLARSHIP,0
BIT20250004,Postgraduate,Control Science and Engineering,English-taught,3.39,78,8.7,5.3,1,2,TOEFL,94.9,HSK2,9,0.87,Kenya,1,0,0,0,26,Male,1,Low,Self-funded,0,5.6,100.0,8.5,9.5,8.6,0.97,Valid,0,0.92,Admitted,Full,39656
BIT20250005,Undergraduate,Medical Technology,English-taught,3.93,25,4.3,4.0,0,1,IELTS,86.2,HSK1,2,0.87,Mongolia,1,1,1,0,34,Female,1,Medium,Government,1,4.4,66.8,8.3,6.9,6.8,0.9,Valid,0,0.94,Admitted,Partial,20410
BIT20250006,Undergraduate,Chemistry and Chemical Engineering,Chinese-taught,3.69,19,6.2,3.2,0,2,IELTS,87.1,HSK5,0,0.8,France,1,1,0,0,34,Male,1,Medium,Company,0,8.8,75.4,6.0,8.5,5.7,0.76,Valid,1,0.83,Rejected,None,0
BIT20250007,Undergraduate,Foreign Languages,English-taught,3.65,39,7.0,6.1,0,1,DUOLINGO,76.8,HSK2,6,0.99,Kazakhstan,1,1,0,1,27,Male,1,Medium,University,0,4.7,80.7,8.5,7.9,6.2,0.97,Valid,0,0.91,Admitted,Partial,16618
BIT20250008,Chinese Language,Chinese Language and Culture,Chinese-taught,3.12,79,7.4,9.4,1,2,IELTS,70.4,HSK5,11,0.88,Egypt,1,0,0,1,30,Male,1,Medium,Self-funded,0,6.5,81.7,6.5,5.3,8.4,0.8,Valid,0,0.89,Admitted,NO_SCHOLARSHIP,0
BIT20250009,Postgraduate,Materials Science and Technology,Chinese-taught,2.94,80,8.4,6.7,1,1,IELTS,94.6,HSK5,9,0.7,Indonesia,0,0,1,0,30,Male,1,Low,Self-funded,0,5.4,99.6,6.0,8.5,7.4,0.75,Valid,0,0.96,Admitted,NO_SCHOLARSHIP,0
BIT20250010,Postgraduate,Education,English-taught,3.68,27,6.1,0.7,2,1,IELTS,85.4,NO_EXAM,5,0.87,Zimbabwe,0,1,1,0,30,Male,0,Low,Self-funded,0,6.7,90.1,8.7,9.0,7.7,0.8,Valid,2,0.91,Rejected,None,0
